CID,MW,MF,TPSA,XL,HAC,HBDC,HBAC,RBC,SMILES,Charge,CBUC
135775936,473.5,C20H23N7O5S,198,-0.8,33,4,9,9,COCCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)CSC3=NC(=CC(=O)N3)N,0,1
135768630,506.6,C26H26N4O5S,126,2.5,36,2,7,9,CCN(C1=CC=CC=C1)S(=O)(=O)C2=CC(=C(C=C2)OC)NC(=O)CCC3=NC4=CC=CC=C4C(=O)N3,0,1
135768629,454.5,C23H26N4O4S,116,1.8,32,2,6,6,CC1=C(C=C(C=C1)S(=O)(=O)N2CCCCC2)NC(=O)CCC3=NC4=CC=CC=C4C(=O)N3,0,1
135760828,394.6,C18H26N4O2S2,108,3.1,26,1,6,4,CC(C)(C)N=C1NN=C(CS1)C2=CC=C(C=C2)S(=O)(=O)N3CCCCC3,0,1
135759036,235.26,C10H9N3O2S,95.9,1.5,16,2,4,2,C1C(=O)NC(=NNC(=O)C2=CC=CC=C2)S1,0,1
135755225,318.9,C19H27ClN2,28.2,NULL,22,2,1,7,CCCCCCCCC1=NCCC2=C1NC3=CC=CC=C23.Cl,0,2
135755221,469.3,C19H26IN4O2+,65.6,NULL,26,2,4,7,C[N+](C)(C)CCNC(=O)C1=CC(=[N+](C=C1)CC2=CC=CC=C2)C=NO.[I-],1,2
135745100,279.29,C16H13N3O2,67.1,3.8,21,1,5,3,COC1=CC=CC=C1N=NC2=C3C=CC=NC3=C(C=C2)O,0,1
135735445,418.5,C19H22N4O5S,146,1.1,29,2,7,7,C1CCC(CC1)(C#N)NC(=O)COC(=O)CCN=C2C3=CC=CC=C3S(=O)(=O)N2,0,1
135735436,532.2,C17H12Br2N2O4S2,130,5,27,2,6,3,CC1=CC=C(C=C1)S(=O)(=O)N=C2NC(=O)C(=CC3=C(C(=CC(=C3)Br)Br)O)S2,0,1
135735431,358.4,C16H14N4O4S,129,2.7,25,2,6,4,CC(=NNS(=O)(=O)C1=CC=CC(=C1)[N+](=O)[O-])C2=CNC3=CC=CC=C32,0,1
135735430,313.4,C16H15N3O2S,82.7,3.2,22,2,4,4,CC(=NNS(=O)(=O)C1=CC=CC=C1)C2=CNC3=CC=CC=C32,0,1
135732110,394.5,C16H22N6O4S,135,0.1,27,1,7,5,CCOC(=O)N1CCN(CC1)C(=O)CSC2=NN=C3N2C(=C(C(=O)N3)C)C,0,1
135732031,335.4,C15H21N5O2S,114,1.5,23,2,5,6,CCCC1=CC(=O)NC2=NN=C(N12)SCC(=O)NC3CCCC3,0,1
135716008,236.27,C12H16N2O3,76.3,1.9,17,3,5,2,C1CCN(CC1)N=CC2=C(C(=C(C=C2)O)O)O,0,1
135706571,312.3,C16H12N2O3S,100,3.4,22,2,5,3,C1=COC(=C1)C=CC=C2C(=O)NC(=NC3=CC=C(C=C3)O)S2,0,1
135706190,499.6,C24H29N5O5S,129,1.2,35,2,8,10,COCCN(CC1=NC2=CC=CC=C2C(=O)N1)CC(=O)NC3=CC(=CC=C3)S(=O)(=O)N4CCCC4,0,1
135697633,459.9,C22H26ClN5O4,111,2.2,32,2,5,5,CCN(CC1=NC2=C(C=CC(=C2)Cl)C(=O)N1)C(=O)CN3C(=O)C4(CCCCC4C)NC3=O,0,1
135696955,374.2,C17H12BrNO4,68.1,4.2,23,1,5,3,COC1=C(C(=CC(=C1)C=C2C(=NOC2=O)C3=CC=CC=C3)Br)O,0,1
135696954,388.2,C18H14BrNO4,68.1,4.6,24,1,5,4,CCOC1=C(C(=CC(=C1)C=C2C(=NOC2=O)C3=CC=CC=C3)Br)O,0,1
135693607,501,C23H21ClN4O5S,142,NULL,34,2,9,6,CC1=CC(=C(C=C1)OC)NC2=N[N+](=C(S2)C3=C(C(=CC(=C3)[N+](=O)[O-])OC)O)C4=CC=CC=C4.[Cl-],0,2
135693600,379.9,C17H18ClN3O3S,107,NULL,25,3,7,4,CC1=CC(=C(C=C1)OC)NC2=N[N+](=C(S2)C3=C(C=C(C=C3)O)O)C.[Cl-],0,2
135693595,356.5,C20H28N4O2,90.4,4.8,26,3,4,5,CC1=CC(=NN1)C(=O)NN=CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,0,1
135693593,501.3,C21H14BrFN4O5,137,4.5,32,3,7,5,C1=CC(=CC=C1C(=O)NN=CC2=C(C(=CC(=C2)Br)[N+](=O)[O-])O)NC(=O)C3=CC=C(C=C3)F,0,1
135693588,418.5,C25H30N4O2,69.7,3.7,31,2,3,7,CCN1C(C(C(NC1=NCCC2=CNC3=CC=CC=C32)C4=CC=CC=C4)C(=O)OC)C,0,1
135693578,473.5,C28H28FN3O3,63.2,4.5,35,1,5,8,CC1=C(C(NC(=NCC2=CC=C(C=C2)OC)N1CC3=CC=CC=C3)C4=CC(=CC=C4)F)C(=O)OC,0,1
135693225,371.4,C16H13N5O4S,156,1.3,26,3,8,5,C1=CC(=CC=C1C2=NN=C(O2)SCC(=O)NNC(=O)C3=CC=NC=C3)O,0,1
135693220,399.9,C20H15ClFN3OS,77.3,NULL,27,2,6,4,C1=CC=C(C=C1)NC2=N[N+](=C(S2)C3=CC=C(C=C3)O)C4=CC=C(C=C4)F.[Cl-],0,2
135693218,449.9,C24H17ClFN3OS,77.3,NULL,31,2,6,4,C1=CC=C(C=C1)NC2=N[N+](=C(S2)C3=C(C=CC4=CC=CC=C43)O)C5=CC=C(C=C5)F.[Cl-],0,2
135693202,438.6,C24H30N4O2S,111,4.8,31,1,5,6,CC(C)(C)C1=CC=C(C=C1)C2=C(C(=O)NC(=N2)SCC(=O)N(C)C3CCCCC3)C#N,0,1
135691237,357.4,C17H15N3O4S,127,2.7,25,3,7,5,C=CCN=C1N(C(=CS1)C2=CC=CO2)N=CC3=C(C(=C(C=C3)O)O)O,0,1
135691202,408.7,C18H15BrClNO3,51.6,NULL,24,2,4,1,CC1=C(C(=NC2=CC3=C(C=C12)OCO3)C4=C(C=CC(=C4)Br)O)C.Cl,0,2
135691086,410.5,C16H18N4O5S2,175,1.2,27,5,8,5,CN(C)S(=O)(=O)C1=CC=CC(=C1)NC(=S)NN=CC2=C(C(=C(C=C2)O)O)O,0,1
135691075,284.3,C10H8N2O4S2,151,1.4,18,3,7,2,C1C(=O)N(C(=S)S1)N=CC2=C(C(=C(C=C2)O)O)O,0,1
135689013,400.9,C22H29ClN4O,42.3,4.6,28,1,5,7,CCN(CC)C1=CC(=C(C=C1)C=NN2CCN(CC2)CC3=CC=CC=C3Cl)O,0,1
135688989,362.04,C10H6Br2N2OS,73.7,3.6,16,1,4,2,C1=CSC(=N1)N=CC2=C(C(=CC(=C2)Br)Br)O,0,1
135688244,338.4,C18H18N4OS,103,2.1,24,2,4,3,CN1CCC2=C(C1)SC(=C2C(=O)N)N=CC3=CNC4=CC=CC=C43,0,1
135686547,410.5,C21H22N4O3S,117,3.5,29,2,6,8,CCC1=CC(=CC=C1)NC(=O)CSC2=NN=C(C(=O)N2)CC3=CC=C(C=C3)OC,0,1
135684986,204.19,C9H8N4O2,83.5,1,15,2,5,2,C1=CC(=C(C=C1C=NN2C=NC=N2)O)O,0,1
135684904,242.27,C14H14N2O2,53.8,3.4,18,2,4,4,COC1=C(C=CC(=C1)C=NNC2=CC=CC=C2)O,0,1
135684047,440.3,C22H18BrNO4,79.6,4.8,28,2,5,3,COC1=C(C(=CC(=C1)C=C2CCCC3=C(C4=CC=CC=C4N=C23)C(=O)O)Br)O,0,1
135683272,282.09,C11H8BrNO3,58.9,2.6,16,1,4,1,CC1=NOC(=O)C1=CC2=CC(=C(C=C2)O)Br,0,1
135681143,401.3,C19H17BrN2O3,59.9,3.8,25,1,4,5,CCOC1=C(C(=CC(=C1)C=CC2=NC3=CC=CC=C3C(=O)N2)Br)OC,0,1
135680124,412.9,C21H21ClN4O3,99.7,2.1,29,3,4,7,CC1=C(C=CC=C1Cl)NC(=O)CNC(=O)CCCC2=NC3=CC=CC=C3C(=O)N2,0,1
135679290,258.269,C14H14N2O3,85.1,2.8,19,4,5,3,CC1=CC(=CC=C1)NN=CC2=C(C(=C(C=C2)O)O)O,0,1
135679010,248.32,C14H20N2O2,56.1,3.1,18,2,4,2,CC1CCCC(N1N=CC2=CC(=C(C=C2)O)O)C,0,1
135678731,468.9,C18H17ClN4O7S,163,2.3,31,2,9,5,C1COCCN1S(=O)(=O)C2=CC=CC(=C2)C(=O)NN=CC3=C(C(=CC(=C3)Cl)[N+](=O)[O-])O,0,1
135676326,302.4,C20H18N2O,35.8,5.1,23,1,3,4,CC(=NN(C1=CC=CC=C1)C2=CC=CC=C2)C3=CC=C(C=C3)O,0,1
135676274,406.46,C11H7Br2ClN4O,70.4,3.8,19,2,5,3,C1=CC(=NN=C1NN=CC2=CC(=C(C(=C2)Br)O)Br)Cl,0,1
135676249,290.74,C15H15ClN2O2,53.8,4,20,2,4,4,CC(=NNC1=CC=CC=C1Cl)C2=C(C=C(C=C2)OC)O,0,1
135676232,329.74,C16H12ClN3O3,98,3.4,23,4,6,3,C1=CC2=C(C=CN=C2C=C1Cl)NN=CC3=C(C(=C(C=C3)O)O)O,0,1
135676161,320.3,C19H16N2O3,76.3,4.2,24,3,5,4,C1=CC=C(C=C1)N(C2=CC=CC=C2)N=CC3=C(C(=C(C=C3)O)O)O,0,1
135676154,308.4,C18H20N4O,65.8,2.7,23,2,3,3,CC1=CC(=O)NC(=N1)NN=C2CCCCC2=CC3=CC=CC=C3,0,1
135676152,325.8,C18H16ClN3O,57.5,4.8,23,2,4,4,CCC(=NNC1=C2C=CC(=CC2=NC=C1)Cl)C3=CC=C(C=C3)O,0,1
135676089,311.29,C16H13N3O4,106,1.4,23,3,6,2,CC1=NC2=CC=CC=C2C(=O)N1N=CC3=C(C(=C(C=C3)O)O)O,0,1
135676074,307.3,C18H17N3O2,91.7,3.1,23,3,5,3,CC1=C(C=CC(=C1O)C(=NN)CC2=NC3=CC=CC=C3C=C2)O,0,1
135676000,308.72,C13H13ClN4O3,88.9,2.3,21,2,7,5,COC1=CC(=CC(=C1O)OC)C=NNC2=NN=C(C=C2)Cl,0,1
135675967,410.1,C10H6Br2N2O2S2,110,3.5,18,1,5,2,C1C(=O)N(C(=S)S1)N=CC2=CC(=C(C(=C2)Br)O)Br,0,1
135675964,371.12,C10H16BrN2O6P,123,NULL,20,4,8,3,CN(C)N=CC1=CC(=C(C(=C1)Br)O)OC.OP(=O)(O)O,0,2
135675930,313.74,C16H12ClN3O2,77.5,3.8,22,3,4,4,C1=CC=C2C(=C1)C(=CN2)C=NNC3=CC(=C(C=C3)Cl)C(=O)O,0,1
135675925,321.37,C16H23N3O4,92.2,2.4,23,3,5,5,COC1=CC(=CC(=C1O)OC)C=NNC(=O)NC2CCCCC2,0,1
135659552,433.5,C20H23N3O6S,126,2.1,30,2,8,7,COC1=CC(=CC(=C1O)OC)C=NNC(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCCC3,0,1
135659329,355.4,C18H17N3O3S,98.4,2.8,25,2,5,5,COC1=CC(=CC(=C1O)OC)C=NN2C=C(NC2=S)C3=CC=CC=C3,0,1
135656310,411.3,C16H19BrN4O2S,102,4,24,2,5,4,COC1=C(C(=CC(=C1)C=NN2C(=NNC2=S)C3CCCCC3)Br)O,0,1
135651380,337.4,C17H12FN5S,87.9,3.5,24,2,4,3,C1=CC=C2C(=C1)C(=CN2)C=NN3C(=NNC3=S)C4=CC=CC=C4F,0,1
135651186,360.4,C15H16N6O3S,139,1.9,25,3,7,5,CC1=CC(=NN1)C2=NNC(=S)N2N=CC3=CC(=C(C(=C3)OC)O)OC,0,1
135651101,330.37,C14H14N6O2S,130,1.9,23,3,6,4,CC1=CC(=NN1)C2=NNC(=S)N2N=CC3=CC(=C(C=C3)O)OC,0,1
135650998,405.3,C16H13BrN4O2S,102,3.6,24,2,5,5,C1=CC=C(C=C1)OCC2=NNC(=S)N2N=CC3=C(C=CC(=C3)Br)O,0,1
135650969,342.4,C16H14N4O3S,122,2.6,24,3,6,5,C1=CC=C(C=C1)OCC2=NNC(=S)N2N=CC3=C(C=C(C=C3)O)O,0,1
135650885,332.4,C16H20N4O2S,102,3.3,23,2,5,4,COC1=C(C=CC(=C1)C=NN2C(=NNC2=S)C3CCCCC3)O,0,1
135650835,342.4,C16H14N4O3S,122,2.6,24,3,6,5,C1=CC=C(C=C1)OCC2=NNC(=S)N2N=CC3=CC(=C(C=C3)O)O,0,1
135650685,306.4,C18H18N4O,57.6,3.4,23,1,4,3,CC1=CC=C(C=C1)N2C(=O)C(=C(N2)C)C=NC3=CC=CC(=N3)C,0,1
135650621,387.4,C22H17N3O4,94.7,3.5,29,2,6,5,C1=CC=C(C=C1)OCC2=NC3=CC=CC=C3C(=O)N2N=CC4=CC(=C(C=C4)O)O,0,1
135650521,273.25,C12H11N5O3,109,2.1,20,2,7,2,C1CC2=[N+](ON=C2C(=NNC3=CC=CC=C3)C1=NO)[O-],0,1
135650515,279.29,C16H13N3O2,61.8,2.2,21,1,3,2,CC(=O)N(C1=CC=CC=C1)N=C2C3=CC=CC=C3NC2=O,0,1
135650497,268.3,C15H12N2OS,73.7,3.9,19,1,4,2,CC1=NC(=CC=C1)N=CC2=C(C3=CC=CC=C3S2)O,0,1
135650412,396.5,C20H20N4O3S,123,4.8,28,2,5,5,CC(C)(C)C1=CC=[N+](C=C1)C2=C(SC(=O)N2)C=NNC(=O)C3=CC=CC=C3[O-],0,1
135650337,469.6,C26H23N5O2S,111,5.6,34,1,5,7,CCC1=C[N+](=CC=C1)C2=C(SC(=O)N2)C=NN=C(CCN3C4=CC=CC=C4C5=CC=CC=C53)[O-],0,1
135650119,402.5,C18H18N4O3S2,152,3.8,27,3,8,7,CCOC1=C(C=CC(=C1)C=NNC2=NC(=C(S2)NC(=O)C)C3=CC=CS3)O,0,1
135650114,432.5,C19H20N4O4S2,141,3.3,29,2,9,7,CN(C)S(=O)(=O)C1=CC=C(C=C1)C2=CSC(=N2)NN=CC3=CC(=C(C=C3)O)OC,0,1
135648107,386.4,C23H18N2O4,82.4,3.8,29,2,5,4,COC1=CC=C(C=C1)N2C(=NC3=CC=CC=C3C2=O)C=CC4=CC(=C(C=C4)O)O,0,1
135647882,327.4,C17H17N3O2S,82.7,3.6,23,2,4,4,CC1=CC=C(C=C1)S(=O)(=O)NN=C(C)C2=CNC3=CC=CC=C32,0,1
135645018,289.33,C17H15N5,68.9,4,22,3,3,3,CC1=C(C2=CC=CC=C2N1)C=NNC3=NC4=CC=CC=C4N3,0,1
135643321,425.8,C21H16ClN3O5,128,4.4,30,3,6,5,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)NN=CC3=C(C(=CC(=C3)Cl)[N+](=O)[O-])O)O,0,1
135643262,301.34,C15H19N5O2,101,1.2,22,3,3,5,CCOC1=CC=C(C=C1)NC(=NC2=NC(=C(C(=O)N2)C)C)N,0,1
135642811,318.28,C14H14N4O5,122,2.2,23,2,8,5,COC1=CC(=CC(=C1O)OC)C=NNC2=NC=C(C=C2)[N+](=O)[O-],0,1
135642382,356.4,C17H16N4O3S,125,2.6,25,3,6,5,CN1C2=CC=CC=C2N=C1SCC(=O)NN=CC3=CC(=C(C=C3)O)O,0,1
135641649,432.5,C20H24N4O5S,131,1.5,30,3,8,6,CC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)CC(=O)NN=CC3=CC(=C(C=C3)O)O,0,1
135641513,366.4,C19H22N6O2,97.4,3.6,27,2,7,6,CCOC1=C(C=CC(=C1)C=NNC2=NC(=NC(=C2)C)N3C(=CC(=N3)C)C)O,0,1
135641350,470.3,C21H16BrN3O5,101,2.5,30,2,6,4,COC1=CC(=C(C=C1)N2C(=C(C(=O)NC2=O)C=C3C=NC4=C3C=C(C=C4)Br)O)OC,0,1
135637508,317.14,C14H9BrN2O2,54.6,2.8,19,1,3,2,C1=CC=C(C(=C1)C2=NC(=CC3=CC=CO3)C(=O)N2)Br,0,1
135635893,353.4,C19H19N3O4,84.9,3.8,26,2,6,7,COC1=C(C=C2C(=C1)C(=C(N2)C(=O)OC)C=NNC3=CC=CC=C3)OC,0,1
135635862,426.5,C19H18N6O4S,158,2.9,30,3,7,4,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=S)NN=CC3=C(C=CC(=C3)[N+](=O)[O-])O,0,1
135635749,359.2,C11H11BrN4O3S,142,3.4,20,2,6,5,C=CCSC(=NN=CC1=C(C(=CC(=C1)Br)[N+](=O)[O-])O)N,0,1
135635745,321.17,C14H13BrN2O2,53.8,3.8,19,2,4,4,COC1=CC=CC(=C1)NN=CC2=C(C(=CC=C2)Br)O,0,1
135635728,411.5,C20H21N5OS2,96,4.7,28,2,5,6,CC(C)(C)C1=CC=[N+](C=C1)C2=C(SC(=O)N2)C=NNC(=NC3=CC=CC=C3)[S-],0,1
135635691,355.4,C16H13N5OS2,96,3.1,24,2,5,5,C1=CC=C(C=C1)N=C(NN=CC2=C(NC(=O)S2)[N+]3=CC=CC=C3)[S-],0,1
135635686,353.4,C17H15N5O2S,119,3.2,25,1,6,5,CCC1=C[N+](=CC=C1)C2=C(SC(=O)N2)C=NN=C(C3=CC=NC=C3)[O-],0,1
135632188,326.4,C16H14N4O2S,102,3,23,2,5,5,C1=CC=C(C=C1)OCC2=NNC(=S)N2N=CC3=CC=CC=C3O,0,1
135632169,419.4,C17H13N3O6S2,175,3,28,2,8,4,C1=CC=C(C=C1)CS(=O)(=O)N=C2NC(=O)C(=CC3=C(C=CC(=C3)[N+](=O)[O-])O)S2,0,1
135632139,344.3,C15H12N4O4S,141,4.3,24,2,8,4,COC1=CC(=CC(=C1O)[N+](=O)[O-])C=NNC2=NC3=CC=CC=C3S2,0,1
135630551,323.4,C15H13N7S,117,2.4,23,3,4,3,CC1=CC(=NN1)C2=NNC(=S)N2N=CC3=CNC4=CC=CC=C43,0,1
135630339,381.3,C15H17BrN4OS,92.3,4,22,2,4,3,C1CCC(CC1)C2=NNC(=S)N2N=CC3=C(C=CC(=C3)Br)O,0,1
135630284,318.4,C15H18N4O2S,113,3,22,3,5,3,C1CCC(CC1)C2=NNC(=S)N2N=CC3=C(C=C(C=C3)O)O,0,1
135630189,336.3,C18H16N4O3,94,2.7,25,3,5,4,CC(=NNC1=CC=CC=C1)C2=C(N(C(=O)NC2=O)C3=CC=CC=C3)O,0,1
135624201,254.71,C12H15ClN2O2,49.4,NULL,17,4,3,0,CC1=NCCC2=C1NC3=C2C=CC(=C3)O.O.Cl,0,3
135623349,357.23,C12H13BrN4O2S,102,2.4,20,2,5,4,CCC1=NNC(=S)N1N=CC2=CC(=C(C(=C2)Br)O)OC,0,1
135616991,513.1,C18H15Br2N3O5,109,3,28,3,6,5,C1C(OC2=CC=CC=C2O1)C(=O)NCC(=O)NN=CC3=CC(=C(C(=C3)Br)O)Br,0,1
135616980,378.5,C22H26N4O2,66.8,2.6,28,1,4,7,CCN1C(=C(C(NC1=NCCC2=CN=CC=C2)C3=CC=CC=C3)C(=O)OC)C,0,1
135616973,495.8,C16H9ClN2NaO9S2-,217,NULL,31,3,11,2,C1=CC(=C(C=C1Cl)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])O)O)O.[Na+],-1,2
135616151,340.8,C18H13ClN2O3,81.9,4.6,24,3,5,4,C1=CC=C2C(=C1)C=CC(=C2C=NNC3=CC(=C(C=C3)Cl)C(=O)O)O,0,1
135615752,293.32,C17H15N3O2,77.5,3.6,22,3,4,4,CC1=C(C2=CC=CC=C2N1)C=NNC3=CC=CC(=C3)C(=O)O,0,1
135615569,237.64,C11H8ClNO3,58.9,2.5,16,1,4,1,CC1=NOC(=O)C1=CC2=CC(=C(C=C2)O)Cl,0,1
135615348,351.34,C14H13N3O6S,153,2,24,3,8,4,CC1=C(C=C(C=C1)S(=O)(=O)NN=CC2=C(C=C(C=C2)O)O)[N+](=O)[O-],0,1
135615259,267.66,C12H10ClNO4,68.1,2.5,18,1,5,2,CC1=NOC(=O)C1=CC2=CC(=C(C(=C2)Cl)O)OC,0,1
135614927,234.29,C13H18N2O2,45.1,2.6,17,1,4,3,COC1=CC(=C(C=C1)O)C=NN2CCCCC2,0,1
135614293,389.4,C18H19N3O5S,128,1.8,27,3,7,5,C1CCN(C1)S(=O)(=O)C2=CC=CC(=C2)C(=O)NN=CC3=CC(=C(C=C3)O)O,0,1
135614214,303.4,C18H29N3O,39.1,4.3,22,1,4,5,CCN(CC)C1=CC(=C(C=C1)C=NN2C(CCCC2C)C)O,0,1
135613834,356.4,C17H16N4O3S,111,2.9,25,2,6,6,COC1=CC=CC(=C1O)C=NN2C(=NNC2=S)COC3=CC=CC=C3,0,1
135613601,355.26,C16H9N3O7,151,3.7,26,1,8,2,C1=CC=C(C(=C1)C2=NOC(=O)C2=CC3=C(C(=CC=C3)[N+](=O)[O-])O)[N+](=O)[O-],0,1
135613411,406.4,C22H18N2O6,126,4.5,30,2,7,3,COC1=CC(=CC(=C1O)[N+](=O)[O-])C=C2CCCC3=C(C4=CC=CC=C4N=C23)C(=O)O,0,1
135613375,324.4,C17H16N4OS,108,2.8,23,3,3,5,C1=CC=C(C=C1)COC2=CC3=C(C=C2)NC=C3C=NNC(=S)N,0,1
135608138,279.29,C13H17N3O4,90.9,3,20,1,6,3,COC1=CC(=CC(=C1O)[N+](=O)[O-])C=NN2CCCCC2,0,1
135607695,500,C18H18ClN5O6S2,190,2.6,32,3,9,5,C1COCCN1S(=O)(=O)C2=CC=C(C=C2)NC(=S)NN=CC3=C(C(=CC(=C3)Cl)[N+](=O)[O-])O,0,1
135603284,254.31,C14H10N2OS,73.7,3.5,18,1,4,2,C1=CC=C2C(=C1)C(=C(S2)C=NC3=CC=CC=N3)O,0,1
135594431,300.24,C14H9FN4O3,107,3.7,22,2,6,2,C1=CC(=CC=C1N=NC2=C(NC3=C2C=C(C=C3)F)O)[N+](=O)[O-],0,1
