,CID,SID,target,Efficacy
64755,16029679,24408399,0,70.1917
64773,16029662,24408381,0,
64829,16029607,24408323,0,
64934,16029503,24408219,0,
64939,16029499,24408215,0,
64944,16029495,24408211,0,
64967,16029473,24408189,0,
64970,16029471,24408187,0,
64973,16029469,24408185,0,
64978,16029465,49732872,0,
65097,16029347,24408059,0,
65108,16029337,49735383,0,81.0889
65127,16029319,24408031,0,
65348,16029080,24407755,0,
65352,16029076,24407751,0,
65354,16029074,24407749,0,70.6997
65356,16029072,24407747,0,
65435,16028980,24407624,0,
66242,16028174,24406678,0,
66245,16028172,24406676,0,
66303,16028115,24406612,0,
66328,16028091,49735083,0,96.0972
66350,16028070,24406562,0,
66362,16028059,49736344,0,56.4779
66389,16028033,24406520,0,49.3482
66392,16028031,49731729,0,
66413,16028011,49734858,0,66.6832
66416,16028009,24406494,0,
66421,16028005,49731727,0,
66426,16028001,49719590,0,73.5692
66451,16027977,24406462,0,
66454,16027975,24406460,0,
66461,16027969,24406454,0,
66492,16027939,24406424,0,
66497,16027935,24406420,0,
66516,16027917,49719685,0,68.0667
66519,16027915,49719678,0,
66675,16027761,49735329,0,
66678,16027759,49719777,0,
66703,16027735,49719695,0,117.582
66706,16027733,49731720,0,
66709,16027731,24406216,0,52.7628
67294,16027147,24405631,0,
67297,16027145,24405629,0,
67300,16027143,24405627,0,
67303,16027141,24405625,0,
67306,16027139,24405623,0,
67309,16027137,49720152,0,
67333,16027114,49719457,0,79.9911
67336,16027112,24405593,0,
67343,16027106,24405587,0,
67372,16027078,24405557,0,
67393,16027058,24405537,0,
67398,16027054,24405533,0,
67401,16027052,24405531,0,
67410,16027044,49731415,0,
67429,16027026,24405505,0,
67434,16027022,24405501,0,
67437,16027020,49731413,0,39.2939
67444,16027014,24405493,0,
67504,16026955,49731411,0,
67509,16026951,24405430,0,
67512,16026949,49731410,0,
67531,16026931,24405410,0,
67540,16026923,24405400,0,
67542,16026922,49731408,0,
67958,16026507,24404962,0,72.137
67988,16026478,49719714,0,121.408
68006,16026461,49731307,0,107.811
68689,16025780,49734794,0,105.939
68698,16025772,49736477,0,87.6341
68701,16025770,49719422,0,98.8922
68769,16025706,49719342,0,
68788,16025688,49736562,0,97.1803
68824,16025653,49736559,0,
68837,16025641,24404079,0,
68844,16025635,49719563,0,
68847,16025633,24404071,0,
68850,16025631,49719496,0,
68853,16025629,49719576,0,
68857,16025626,49719424,0,
68862,16025622,49719419,0,
68865,16025620,49719411,0,
68875,16025611,49719481,0,
68951,16025536,24403973,0,
69109,16025374,49734466,0,
69132,16025352,49719499,0,
69172,16025313,49735547,0,
69175,16025311,49719654,0,
69195,16025292,49735892,0,
69200,16025288,49719910,0,
69205,16025284,49719757,0,
69208,16025282,49734580,0,
69325,16025166,49719840,0,
69334,16025158,49719771,0,
69346,16025147,49736029,0,
69351,16025143,49719483,0,
69354,16025141,49719428,0,
69357,16025139,49736046,0,37.7621
69378,16025119,49719897,0,50.0219
69381,16025117,49720031,0,
69470,16025030,49737193,0,
69483,16025017,49719964,0,79.4161
69492,16025009,49736026,0,198.3
69531,16024971,49720033,0,
69533,16024970,49824580,0,
69713,16024792,24403213,0,
69777,16024730,49719657,0,64.0721
69950,16024558,24402977,0,54.4085
69955,16024554,49720006,0,
69958,16024552,49735890,0,
69967,16024544,24402963,0,
69986,16024526,49720005,0,
69991,16024522,49719999,0,49.266
69994,16024520,49736244,0,
70024,16024492,49719914,0,
70027,16024490,49736113,0,
70038,16024480,49735879,0,
70054,16024465,49736111,0,
70057,16024463,49719993,0,
70062,16024459,49719932,0,
70065,16024457,24402875,0,47.7514
70068,16024455,49719913,0,
70071,16024453,49737195,0,
70076,16024449,49735880,0,49.1925
70101,16024425,49735876,0,71.9318
70104,16024423,49719931,0,
70148,16024380,49719859,0,
70151,16024378,49735884,0,
70156,16024374,49719922,0,
70199,16024332,49734708,0,
70204,16024328,24402743,0,99.2943
70236,16024298,49719661,0,
70260,16024275,49719934,0,
70602,16023929,49735789,0,179.379
70704,16023829,49721994,0,
71058,16023476,24401875,0,
71063,16023472,49721897,0,
71072,16023464,49736038,0,
71075,16023462,49735294,0,
71095,16023440,49721798,0,
71098,16023436,24401835,0,
71100,16023434,49736306,0,
71121,16023410,49721805,0,
71123,16023408,49721797,0,
71125,16023406,49735491,0,50.742
71130,16023398,49721895,0,
71145,16023372,49736174,0,
71218,16023269,49721999,0,
71343,16023140,49722555,0,67.8514
71346,16023138,49722550,0,
71370,16023115,24401506,0,50.4828
71459,16023027,49736185,0,
71481,16023006,49722554,0,
71487,16023001,49669346,0,86.3404
71503,16022986,49722549,0,
71514,16022976,49717159,0,
71543,16022948,24401338,0,43.2776
71546,16022946,49717091,0,47.9932
71570,16022923,49730837,0,
71573,16022921,49717068,0,
71618,16022877,49735307,0,
71621,16022875,49734572,0,
71628,16022869,49734373,0,
71635,16022863,49717373,0,34.8538
71658,16022841,49717522,0,
71718,16022782,49717323,0,47.0786
71724,16022777,49734938,0,
71727,16022775,49717639,0,
71733,16022770,49717258,0,
71762,16022742,49717381,0,
71801,16022704,49734366,0,
71806,16022700,24401089,0,52.4065
71809,16022698,24401087,0,57.1027
71812,16022696,49716950,0,
71815,16022694,24401083,0,40.6613
71818,16022692,24401081,0,34.1974
71821,16022690,24401079,0,42.927
71824,16022688,49736176,0,54.5469
71843,16022670,24401059,0,38.6084
71861,16022653,24401041,0,60.9714
71868,16022647,24401035,0,30.8833
71873,16022643,49717440,0,
71876,16022641,49717378,0,
71880,16022638,24401025,0,57.4982
71885,16022634,49716954,0,20.7919
71892,16022628,49736183,0,
71903,16022618,49734364,0,49.8497
71906,16022616,49734569,0,
71909,16022614,49735635,0,44.6915
71928,16022596,49717247,0,
71933,16022592,49717442,0,48.4522
71950,16022576,49717319,0,
71955,16022572,24400959,0,41.4158
71958,16022570,49717177,0,
71967,16022562,49717251,0,
71978,16022552,49734368,0,
71983,16022548,49717374,0,
71999,16022534,24400921,0,
72031,16022503,49717637,0,
72034,16022501,49717590,0,23.5764
72212,16022324,49724021,0,
72231,16022306,49730629,0,54.5458
72236,16022302,49723925,0,
72251,16022288,49669504,0,
72284,16022256,24400641,0,56.3877
72319,16022222,49669264,0,
72324,16022218,49669427,0,23.1264
72442,16022101,24400486,0,
72464,16022080,24400460,0,
72469,16022076,24400456,0,
72572,16021974,24400348,0,
72607,16021940,24400314,0,
72723,16021825,24400198,0,
72730,16021819,49717715,0,192.82
72745,16021805,24400178,0,
72747,16021804,24400177,0,
72749,16021803,24400176,0,
72760,16021793,49649478,0,
72765,16021789,49735739,0,
72773,16021782,49677917,0,
72800,16021754,49677959,0,
72803,16021752,49678125,0,
72812,16021744,49677973,0,
72828,16021721,49723692,0,
72882,16021652,49732654,0,45.6508
72890,16021643,49736119,0,
72894,16021637,24400010,0,
72897,16021633,24400006,0,46.8382
72899,16021631,24400004,0,
72907,16021624,49678336,0,
72912,16021620,24399993,0,
72914,16021619,24399992,0,
72923,16021607,49819453,0,
72926,16021603,24399976,0,42.8184
72928,16021601,49819403,0,
72931,16021598,24399971,0,
72935,16021595,24399968,0,
72941,16021590,24399963,0,
72947,16021585,24399958,0,
72950,16021583,49734476,0,139.072
72960,16021569,24399942,0,
72982,16021548,24399921,0,
72984,16021547,49717781,0,
72995,16021537,24399910,0,
72998,16021535,49717780,0,
73015,16021519,24399892,0,
73038,16021497,24399870,0,
73041,16021495,24399868,0,
73049,16021488,49723703,0,165.357
73196,16021342,49735907,0,
73205,16021334,49736044,0,
73234,16021306,49735902,0,
73249,16021292,49731919,0,
73256,16021286,24399642,0,
73259,16021284,24399640,0,
73284,16021260,24399616,0,
73291,16021254,24399610,0,
73297,16021249,24399605,0,
73319,16021228,49731915,0,
73328,16021220,24399576,0,
73351,16021198,24399554,0,
73354,16021196,49736577,0,
73359,16021192,24399548,0,
73382,16021170,24399522,0,
73387,16021166,49731910,0,
73432,16021122,49723872,0,
73879,16020676,49723871,0,
73886,16020670,49723866,0,
73889,16020668,49735846,0,
73922,16020636,24398981,0,38.217
73998,16020561,24398906,0,42.6454
74146,16020414,24812481,0,43.9555
74171,16020391,49667216,0,38.8021
74180,16020383,49667744,0,
74183,16020381,24398695,0,
74196,16020369,49667886,0,
74243,16020323,49679506,0,130.989
74247,16020320,49667246,0,
74256,16020312,49666863,0,
74295,16020274,49714465,0,66.59
74392,16020178,24822815,0,
74419,16020152,49714344,0,
74432,16020140,49731770,0,
74438,16020135,49714326,0,
74477,16020097,24812569,0,
74486,16020089,24812570,0,54.7049
74492,16020084,49714333,0,
74498,16020079,49714321,0,
74514,16020064,24812592,0,
74533,16020046,24823185,0,
74539,16020041,24398292,0,54.311
74554,16020027,49714332,0,
74557,16020025,49731668,0,
74560,16020023,49714375,0,
74563,16020021,49714368,0,
74565,16020020,49669031,0,
74585,16019947,49736332,0,
74592,16019941,49722328,0,
74618,16019916,24397960,0,
74677,16019858,49722326,0,
74684,16019852,49722200,0,
74689,16019848,49722192,0,
74691,16019847,49736205,0,
74699,16019840,49734678,0,
74711,16019829,49724067,0,
74713,16019828,49722065,0,
74716,16019826,49735196,0,
74718,16019825,49736333,0,
74722,16019822,49731710,0,
74724,16019821,49735487,0,
74727,16019819,49724079,0,
74729,16019818,49731709,0,
74750,16019798,49724236,0,
74753,16019796,49724241,0,40.6021
74756,16019794,49724235,0,45.9593
74759,16019792,49724162,0,32.2509
74765,16019787,49722333,0,
74768,16019785,49731708,0,51.2095
74788,16019766,49724149,0,
74790,16019765,49722191,0,
74792,16019764,49724144,0,
74795,16019762,49724078,0,54.3705
74823,16019735,49722199,0,
74826,16019733,49731705,0,
74831,16019729,49731704,0,
74834,16019727,49722344,0,
74838,16019724,49724244,0,
74840,16019723,49722340,0,
74843,16019721,49722331,0,
74852,16019713,49724209,0,62.3495
74875,16019691,49724071,0,
74878,16019689,49724052,0,
74906,16019662,49736326,0,68.2699
74980,16019589,49677831,0,
75024,16019530,24823489,0,
75045,16019506,49722576,0,
75047,16019505,24397534,0,51.9046
75051,16019502,49722436,0,
75053,16019501,24397530,0,
75056,16019499,24397528,0,
75093,16019463,24397492,0,
75096,16019461,24815190,0,136.592
75099,16019459,24397488,0,
75219,16019340,49723298,0,
75234,16019326,51086038,0,
75237,16019324,51089269,0,
75240,16019322,51090041,0,
75246,16019317,51090044,0,
75249,16019315,24397330,0,63.7492
75302,16019265,49678093,0,
75305,16019263,24397270,0,56.4741
75308,16019261,49722230,0,
75330,16019240,24779472,0,
75332,16019239,49722228,0,
75334,16019238,49722221,0,
75340,16019233,49731396,0,19.4991
75343,16019231,49722213,0,
75369,16019208,49722355,0,
75372,16019206,49722223,0,
75379,16019200,49731389,0,
75484,16019097,24397096,0,49.7909
75487,16019095,49670953,0,
75494,16019089,49670352,0,95.1986
75559,16019025,49677995,0,
75582,16019003,49721968,0,
75609,16018977,49721967,0,
75612,16018975,49678121,0,
75638,16018951,49735942,0,186.73
75661,16018929,49722799,0,
75690,16018901,49731303,0,
75713,16018879,49722840,0,
75716,16018877,49722836,0,
75719,16018875,49722638,0,
75722,16018873,49722830,0,
75729,16018867,49722798,0,
75802,16018795,49736300,0,
75832,16018766,24396758,0,48.5553
75835,16018764,24396756,0,59.1795
75839,16018761,49731299,0,
75859,16018742,24396734,0,55.524
75904,16018698,49722827,0,
75906,16018697,49721488,0,54.6399
75908,16018696,49735037,0,
75927,16018678,49734285,0,
75932,16018674,49722833,0,
75941,16018666,49722476,0,
75962,16018646,49722839,0,
75966,16018643,49670594,0,
75970,16018640,49722838,0,70.0346
75997,16018614,24396606,0,
76001,16018611,49670984,0,56.2665
76024,16018589,49731101,0,104.563
76029,16018585,49722011,0,91.538
76034,16018581,49723050,0,
76049,16018567,49734359,0,
76054,16018563,49722010,0,
76057,16018561,49736322,0,
76066,16018553,49734356,0,
76069,16018551,49723028,0,
76072,16018549,49722275,0,
76096,16018527,24396516,0,73.6715
76100,16018524,24396512,0,
76108,16018517,24396505,0,
76111,16018515,49722267,0,
76128,16018499,49818812,0,
76133,16018495,49722138,0,
76138,16018491,24396473,0,69.13
76150,16018480,49721428,0,
76164,16018467,49735488,0,
76167,16018465,24396437,0,
76180,16018453,49722005,0,
76187,16018447,49736317,0,
76204,16018427,49722118,0,
76397,16018228,24396175,0,
76411,16018215,24396162,0,
76436,16018191,24396138,0,
76439,16018189,24396136,0,
76442,16018187,24396134,0,52.358
76488,16018142,49649141,0,90.8061
76502,16018129,49722765,0,
76505,16018127,24396074,0,
76544,16018089,49668064,0,
76546,16018088,24396035,0,
76548,16018087,49668160,0,96.3239
76551,16018085,24396032,0,
76575,16018062,24396009,0,
76578,16018060,49722770,0,
76581,16018058,24396005,0,47.0869
76586,16018054,24396001,0,
76597,16018044,49722522,0,
76602,16018040,49722512,0,
76608,16018035,24395982,0,
76611,16018033,24395980,0,62.1711
76613,16018032,24395979,0,
76615,16018031,24395978,0,
76617,16018030,24395977,0,
76623,16018025,24395972,0,51.1233
76626,16018023,24395970,0,
76628,16018022,24395969,0,46.8291
76630,16018021,24395968,0,
76642,16018010,49722530,0,
76650,16018003,24395950,0,
76671,16017983,24395930,0,69.9932
76674,16017981,24395928,0,
76676,16017980,24395927,0,
76678,16017979,49668134,0,65.0504
76680,16017978,49736541,0,44.5606
76683,16017976,24395923,0,
76686,16017974,49722529,0,
76692,16017969,24395916,0,
76715,16017947,24395894,0,
76720,16017943,49722528,0,101.614
76738,16017926,24395870,0,
76767,16017898,24395841,0,
76772,16017894,24395837,0,
76775,16017892,24395835,0,
76785,16017883,24395825,0,
76802,16017867,24395808,0,
76807,16017863,24395804,0,98.8657
76815,16017856,49721942,0,
76827,16017845,24395784,0,
76832,16017841,49722687,0,
76834,16017840,24395778,0,
76848,16017827,49736047,0,
76857,16017819,24395756,0,
76862,16017815,24395752,0,
76867,16017811,49722693,0,
76876,16017803,49721843,0,
76879,16017801,49721775,0,
76893,16017788,24395724,0,
76896,16017786,24395722,0,
76898,16017785,24395721,0,45.6848
76900,16017784,49722879,0,101.652
76905,16017780,24395716,0,
76921,16017765,24395693,0,
76925,16017762,49722873,0,89.1589
76928,16017760,49722698,0,
76932,16017757,24395685,0,34.2361
76950,16017740,49721704,0,
76953,16017738,24395658,0,
76956,16017736,49721609,0,
76958,16017735,49721439,0,
76991,16017703,49722535,0,
77059,16017635,24395542,0,
77076,16017620,49730691,0,98.3539
77081,16017616,24395523,0,
77083,16017615,24395522,0,38.6465
77085,16017614,24395521,0,
77087,16017613,24395520,0,20.8621
77089,16017612,24395519,0,51.9001
77094,16017608,24395515,0,48.0651
77105,16017598,24395505,0,40.3586
77108,16017596,24395503,0,
77110,16017595,49734615,0,
77112,16017594,24395501,0,79.9304
77114,16017593,24395500,0,42.8618
77117,16017591,24395498,0,
77120,16017589,24395496,0,29.9784
77127,16017585,24395492,0,
77129,16017584,24395491,0,33.422
77134,16017581,49730617,0,56.8074
77160,16017559,49722383,0,
77167,16017555,49722238,0,
77171,16017553,49722103,0,
77173,16017552,24395459,0,
77181,16017546,49722538,0,
77198,16017530,24395437,0,51.8465
77202,16017528,24395435,0,77.4915
77204,16017527,49722098,0,
77206,16017526,24395433,0,56.5028
77212,16017521,49722102,0,
77215,16017519,24395426,0,27.8542
77218,16017517,49721990,0,129.596
77228,16017508,24395415,0,
77233,16017504,24395411,0,
77243,16017495,24395402,0,42.1074
77255,16017484,49736002,0,91.1819
77264,16017476,24395382,0,
77312,16017430,24395335,0,
77315,16017428,49723006,0,79.2521
77318,16017426,24395331,0,85.5619
77348,16017398,24395303,0,44.8416
77353,16017394,24395299,0,50.6751
77367,16017382,24395287,0,32.834
77371,16017379,24395283,0,80.3368
77374,16017377,24395281,0,25.1531
77397,16017355,49734906,0,
77412,16017341,24395245,0,59.4424
77422,16017333,24395237,0,37.1485
77425,16017331,24395235,0,42.2816
77432,16017325,49670646,0,
77435,16017323,24395223,0,59.7704
77458,16017301,49734904,0,
77460,16017300,24395193,0,36.9632
77471,16017292,24395183,0,97.702
77474,16017290,24395181,0,40.1975
77490,16017275,49735486,0,
77496,16017270,24395156,0,
77508,16017258,24395140,0,
77511,16017256,24395138,0,
77513,16017254,49730535,0,43.6204
77519,16017249,24395130,0,
77526,16017244,49735832,0,
77529,16017242,24395118,0,
77532,16017240,49730534,0,119.394
77535,16017238,24395114,0,50.247
77538,16017236,24395112,0,
77540,16017234,49735508,0,
77543,16017232,49735507,0,
77545,16017230,24395106,0,61.0727
77548,16017228,24395104,0,
77550,16017227,24395102,0,
77552,16017226,24395100,0,47.6501
77554,16017225,49735825,0,
77556,16017224,24395096,0,56.4739
77565,16017216,24395086,0,
77568,16017214,24395084,0,129.192
77572,16017210,49735509,0,
77574,16017209,24395078,0,
77577,16017207,24395076,0,
77630,16017148,24395014,0,41.5981
77634,16017142,49735503,0,56.686
77655,16017119,49722507,0,
77657,16017117,24394982,0,58.7476
77661,16017113,49722493,0,
77682,16017091,24394954,0,64.821
77706,16017066,24394927,0,
77779,16016996,49722654,0,
77782,16016994,49722495,0,
77874,16016895,49723241,0,100.767
77969,16016793,49671058,0,
78078,16016685,49670261,0,
78119,16016645,49721749,0,
78126,16016639,49721747,0,
79716,16014993,49667135,0,
79723,16014987,49667160,0,
79726,16014985,24392688,0,
79768,16014928,49670850,0,34.5184
79911,16014783,24392418,0,
79930,16014763,49723239,0,100.585
79933,16014761,24392396,0,
80054,16014635,49669672,0,
80057,16014633,24392237,0,
80060,16014631,49723342,0,43.7039
80063,16014629,24392233,0,
80066,16014627,24392231,0,
80120,16014574,49669686,0,72.7768
80127,16014568,49669236,0,129.992
80147,16014550,24392142,0,
80149,16014549,49669931,0,110.449
80152,16014547,49669601,0,89.5957
80155,16014545,24392136,0,45.6519
80160,16014541,49731816,0,
80163,16014539,24392130,0,
80166,16014537,49734427,0,
